times,flux,raw_flux,rawraw_flux,obs_vr,obs_vw,obs_vn,dsun_obs,rsun_obs
2456082.4999502315,1.0000254064614285,0.9979471185114438,567588552704.0,2223.883847,27908.660105,5714.937123,151757867096.22,945.985962
2456082.500471065,1.0000747826384075,0.9980038432108873,567620009984.0,2224.5633,27917.59104,5719.548257,151757967187.14,945.985291
2456082.500991898,1.000095300483739,0.9980311737555707,567634821120.0,2225.220314,27926.534695,5724.137757,151758067307.94,945.98468
2456082.5015127314,1.0000709399074859,0.99801425495811,567624466432.0,2225.856005,27935.491247,5728.705644,151758167458.0,945.98407
2456082.5020335647,1.0000875157856093,0.9980381287602107,567637311488.0,2226.470954,27944.460743,5733.251643,151758267636.27,945.983459
2456082.502554398,1.0000976369314671,0.9980555612528587,567646420992.0,2227.064434,27953.442483,5737.77441,151758367841.69,945.982788
2456082.5030752313,1.0000873632887972,0.9980527002093486,567644061696.0,2227.637275,27962.436624,5742.276472,151758468073.18,945.982178
2456082.5035960646,1.0001396763203247,0.9981121795931366,567677157376.0,2228.188638,27971.443042,5746.756689,151758568330.1,945.981567
2456082.504116898,1.000146379401869,0.9981261419172023,567684366336.0,2228.718142,27980.461715,5751.214351,151758668611.42,945.980957
2456082.5046377317,1.0001092591050653,0.9980965479958788,567666802688.0,2229.227289,27989.493041,5755.64983,151758768916.07,945.980347
2456082.505158565,1.0000846883156782,0.9980792990374859,567656185856.0,2229.71517,27998.536053,5760.062975,151758869242.97,945.979675
2456082.5056793983,1.0000636814412103,0.9980656065161506,567647666176.0,2230.181535,28007.590742,5764.454165,151758969591.48,945.979065
2456082.5062002316,1.0000400710291648,0.9980494941556228,567637770240.0,2230.626208,28016.657064,5768.82345,151759069960.56,945.978455
2456082.506721065,1.000038690668917,0.998055507804892,567640457216.0,2231.049939,28025.735415,5773.169459,151759170349.15,945.977844
2456082.507241898,1.0000258954788581,0.9980500099440215,567636525056.0,2231.452506,28034.825502,5777.493993,151759270756.17,945.977173
2456082.5077627315,0.9999973232720132,0.9980289447517786,567623811072.0,2231.834033,28043.927053,5781.796375,151759371180.98,945.976562
2456082.508283565,0.9999934528608562,0.9980326516994023,567625187328.0,2232.194443,28053.039906,5786.076092,151759471622.52,945.975952
2456082.508804398,0.9999956633964304,0.9980422488444278,567629840384.0,2232.532914,28062.164693,5790.33275,151759572079.75,945.975281
2456082.5093252314,1.0000014416106464,0.9980554067579541,567636590592.0,2232.850767,28071.30003,5794.567072,151759672551.58,945.97467
2456082.5098460647,0.9999899593365587,0.9980512781264353,567633510400.0,2233.147344,28080.446379,5798.778988,151759773037.37,945.97406
2456082.510366898,0.9999813515881248,0.9980503759216376,567632265216.0,2233.422214,28089.604,5802.968379,151759873536.07,945.97345
2456082.5108877313,1.0000006472703424,0.9980771445337704,567646683136.0,2233.675576,28098.772867,5807.134612,151759974046.63,945.972778
2456082.5114085646,1.0000217225855552,0.9981055108411465,567662084096.0,2233.90807,28107.953066,5811.278609,151760074567.95,945.972168
2456082.511929398,1.0000340791349396,0.9981252349411105,567672569856.0,2234.119081,28117.143704,5815.399747,151760175099.41,945.971558
2456082.5124502317,1.0000340845092754,0.9981326315330578,567676043264.0,2234.308376,28126.344195,5819.497747,151760275639.95,945.970947
2456082.512971065,1.0000373856318272,0.998143496451782,567681417216.0,2234.477193,28135.555779,5823.573555,151760376188.51,945.970276
2456082.5134918983,1.0000529664915176,0.9981666776027877,567693869056.0,2234.624497,28144.778015,5827.62619,151760476744.01,945.969666
2456082.5140127316,1.0000358257969448,0.998157020086324,567687643136.0,2234.750533,28154.010587,5831.655743,151760577305.81,945.969055
2456082.514533565,1.0000541215134287,0.9981828516295175,567701602304.0,2234.855403,28163.253182,5835.662186,151760677872.85,945.968445
2456082.515054398,1.0000734716822313,0.9982097359369434,567716085760.0,2234.939064,28172.505953,5839.645536,151760778444.09,945.967773
2456082.5155752315,1.0000652741718485,0.9982090643788942,567714971648.0,2235.000865,28181.768695,5843.605771,151760879018.43,945.967163
2456082.516096065,1.0000325984479828,0.9981840789473058,567700029440.0,2235.041632,28191.041603,5847.543292,151760979595.24,945.966553
2456082.516616898,1.0000173748720507,0.9981763938272636,567694852096.0,2235.061786,28200.32465,5851.458152,151761080173.46,945.965881
2456082.5171377314,1.00002643474376,0.9981930070102025,567703568384.0,2235.060001,28209.61698,5855.348822,151761180752.04,945.965271
2456082.5176585647,1.0000229072618882,0.9981971751708528,567705206784.0,2235.036468,28218.919443,5859.216555,151761281329.9,945.964661
2456082.518179398,1.000036017586767,0.9982175931957048,567716085760.0,2234.991763,28228.231313,5863.061113,151761381906.38,945.96405
2456082.5187002313,1.0000562248723575,0.9982455127766827,567731159040.0,2234.926354,28237.552173,5866.882429,151761482480.45,945.963379
2456082.5192210646,1.000065742118962,0.9982627022959298,567740203008.0,2234.839823,28246.882878,5870.680612,151761583051.05,945.962769
2456082.519741898,1.0000872114065997,0.9982917629360331,567755997184.0,2234.730941,28256.222901,5874.454906,151761683617.08,945.962158
2456082.5202627317,1.0000631435475602,0.998275189336879,567745839104.0,2234.601208,28265.571859,5878.205753,151761784177.91,945.961548
2456082.520783565,1.0000476778627172,0.9982676194904573,567740727296.0,2234.451312,28274.929511,5881.933467,151761884732.49,945.960876
2456082.5213043983,1.000047557942804,0.998275129541368,567744266240.0,2234.278555,28284.296711,5885.637998,151761985279.77,945.960266
2456082.5218252316,1.00001021558403,0.9982453040228126,567726571520.0,2234.085246,28293.673029,5889.318614,151762085818.66,945.959656
2456082.522346065,0.999993180664846,0.998236107323666,567720607744.0,2233.870463,28303.057945,5892.97536,151762186348.51,945.959045
2456082.522866898,0.9999984484105373,0.9982488163825153,567727030272.0,2233.633903,28312.451021,5896.608334,151762286868.28,945.958374
2456082.5233877315,0.9999784581696116,0.998236967174276,567719559168.0,2233.377025,28321.85277,5900.218228,151762387376.91,945.957764
2456082.523908565,0.9999863735218328,0.9982522000130923,567727489024.0,2233.09873,28331.262971,5903.804105,151762487873.32,945.957153
2456082.524429398,0.9999747760557599,0.9982484306708236,567724539904.0,2232.799159,28340.68165,5907.366096,151762588356.87,945.956482
2456082.5249502314,0.9999455716939374,0.9982267865035631,567711498240.0,2232.47819,28350.108752,5910.904348,151762688826.51,945.955872
2456082.5254710647,0.9999594219557556,0.998248242043406,567722967040.0,2232.135225,28359.544025,5914.419458,151762789281.18,945.955261
2456082.525991898,0.9999635617967512,0.9982603615314686,567729127424.0,2231.77198,28368.987463,5917.909824,151762889719.8,945.954651
2456082.5265127313,0.9999700377926519,0.9982744556629872,567736336384.0,2231.387474,28378.438769,5921.376408,151762990141.73,945.953979
2456082.5270335646,1.0000148167454834,0.9983269074057814,567765434368.0,2230.981215,28387.897616,5924.81958,151763090545.92,945.953369
2456082.527554398,1.0000175790135886,0.9983374137515311,567770677248.0,2230.554286,28397.363872,5928.237746,151763190931.32,945.952759
2456082.5280752317,0.9999951879997244,0.998322570506712,567761502208.0,2230.105344,28406.838559,5931.632882,151763291296.85,945.952148
